Hand Number, Hand Wager, Hand Net, Hand Total, Bank Total
276,100,-100,24,8600
277,100,100,16,8700
278,100,100,17,8800
279,100,100,13,8900
280,100,100,19,9000
281,100,150,21,9150
282,100,-100,22,9050
283,100,100,18,9150
284,100,-100,22,8950
285,100,-100,23,8950
286,200,200,20,9150
287,100,-100,24,9050
288,100,-100,16,8950
289,100,100,19,9050
290,100,-100,25,8950
291,100,100,17,9050
292,100,-100,23,8950
293,100,-100,13,8850
294,100,-100,17,8750
295,100,-100,12,8650
296,100,100,20,8750
297,100,-100,15,8650
298,100,-100,15,8550
299,100,-100,17,8450
300,100,100,15,8550
301,100,0,20,8550
302,100,-100,17,8450
303,100,-100,18,8350
304,200,-200,12,8150
305,100,-100,16,8050
306,100,0,18,8050
307,100,-100,17,7950
308,100,-100,19,7750
309,100,-100,18,7750
310,200,200,20,7950
311,100,-100,19,7850
312,100,100,20,7950
313,100,-100,22,7850
314,100,-100,13,7750
315,100,-100,14,7650
316,100,100,21,7750
317,100,-100,15,7650
318,100,100,18,7750
319,100,-100,26,7650
320,100,-100,22,7550
321,100,-100,24,7450
322,100,-100,19,7350
323,100,100,14,7450
324,100,100,14,7550
325,100,-100,25,7450
326,100,100,20,7550
327,100,-100,25,7450
328,100,100,12,7550
329,200,200,21,7750
330,100,100,20,7850
331,100,-100,19,7750
332,100,-100,16,7650
333,100,-100,20,7550
334,100,100,13,7650
335,100,-100,14,7550
336,100,0,21,7550
337,100,100,14,7450
338,200,200,21,7850
339,100,100,20,7950
340,100,100,17,8050
341,100,-100,13,7950
342,100,100,17,8050
343,100,-100,13,7950
344,200,-200,13,7750
345,100,0,18,7750
346,100,100,20,7850
347,100,100,19,7950
348,200,200,13,8150
349,100,100,20,8250
350,100,-100,17,8150
351,100,100,20,8250
352,100,-100,19,8150
353,100,100,18,8250
354,100,100,19,8350
355,100,100,18,8450
356,200,200,20,8650
357,100,-100,24,8550
358,100,100,20,8650
359,100,-100,18,8550
360,100,100,20,8650
361,100,-100,17,8550
362,100,-100,18,8450
363,100,0,20,8450
364,200,200,15,8650
365,100,100,20,8750
366,200,200,13,8950
367,100,0,20,8950
368,100,-100,20,8850
369,200,200,21,9050
370,100,100,18,9150
371,100,-100,24,9050
372,100,100,20,9150
373,100,-100,19,9050
374,100,-100,19,8950
375,100,-100,15,8850
376,100,100,20,8950
377,100,100,20,9050
378,100,-100,23,8950
379,100,100,20,9050
380,100,-100,24,8950
381,200,200,21,9150
382,100,-100,24,9050
383,100,-100,25,8950
384,100,0,20,8950
385,200,-200,15,8750
386,100,100,16,8850
387,100,100,18,8950
388,100,-100,19,8850
389,100,-100,15,8750
390,100,-100,17,8650
391,100,-100,17,8550
392,100,100,19,8650
393,100,100,19,8750
394,100,100,21,8850
395,100,100,19,8950
396,100,-100,17,8850
397,100,100,19,8950
398,100,-100,12,8850
399,100,-100,22,8750
400,100,150,21,8900
401,200,200,21,9100
402,100,-100,14,9000
403,200,200,13,9200
404,100,100,21,9300
405,100,100,19,9400
406,100,-100,19,9300
407,100,-100,22,9200
408,100,-100,13,8900
409,200,-200,18,8900
410,100,-100,16,8800
411,100,0,17,8800
412,200,200,21,9000
413,100,100,13,9100
414,100,150,21,9250
415,100,-100,18,9150
416,100,100,18,9250
417,100,-100,17,9150
418,100,0,19,9150
419,100,-100,22,9050
420,200,200,19,9250
421,100,100,19,9350
422,100,-100,24,9250
423,100,100,20,9350
424,100,-100,19,9250
425,200,200,21,9450
426,100,0,20,9450
427,100,-100,18,9350
428,100,100,20,9450
429,100,-100,22,9350
430,100,-100,22,9250
431,100,-100,18,9150
432,100,100,21,9250
433,100,-100,20,9150
434,100,150,21,9300
435,100,0,17,9300
436,100,-100,14,9200
437,100,0,20,9200
438,100,-100,19,9100
439,100,100,19,9200
440,200,200,18,9400
441,200,200,12,9600
442,100,-100,19,9500
443,100,-100,24,9400
444,100,100,20,9500
445,100,-100,16,9400
446,100,-100,22,9300
447,100,100,20,9400
448,100,-100,22,9300
449,100,-100,20,9200
450,100,100,18,9300
451,100,100,20,9400
452,100,-100,23,9300
453,100,-100,14,9200
454,100,-100,20,9100
455,200,200,21,9300
456,100,0,20,9300
457,100,100,20,9400
458,100,0,20,9400
459,100,100,19,9500
460,200,200,12,9700
461,100,150,21,9850
462,100,-100,24,9750
463,100,100,16,9850
464,100,-100,17,9750
465,200,200,8,9950
466,100,100,20,10050
467,100,100,15,10150
468,200,-200,19,9950
469,100,100,20,10050
470,100,100,19,10150
471,100,-100,17,10050
472,100,0,19,10050
473,100,100,20,10150
474,100,100,19,10250
475,100,0,18,10250
476,100,-100,17,10150
477,100,150,21,10300
478,100,100,19,10400
479,100,150,21,10550
480,100,-100,13,10450
481,100,-100,12,10350
482,200,200,21,10550
483,100,-100,23,10450
484,100,100,20,10550
485,100,-100,16,10450
486,100,-100,14,10350
487,100,100,17,10450
488,100,100,16,10550
489,100,100,18,10650
490,100,-100,11,10550
491,100,100,20,10650
492,100,-100,17,10550
493,100,-100,14,10450
494,100,100,20,10550
495,200,0,20,10550
496,100,-100,24,10450
497,200,200,14,10650
498,100,100,17,10750
499,100,-100,22,10650
500,200,-200,12,10450
501,100,-100,14,10350
502,100,-100,14,10250
503,100,0,17,10250
504,100,-100,24,10150
505,100,-100,17,10050
506,100,-100,12,9950
507,200,200,21,10150
508,100,100,21,10250
509,100,100,16,10350
510,100,-100,24,10250
511,100,-100,26,10150
512,100,-100,24,10050
513,100,100,19,10150
514,100,-100,19,10050
515,100,0,19,10050
516,100,-100,18,9950
517,100,-100,26,9850
518,100,100,17,9950
519,100,0,20,9950
520,100,100,21,10050
521,100,-100,22,9950
522,100,100,17,10050
523,100,-100,19,9950
524,100,100,19,10050
525,100,-100,19,9950
526,100,-100,24,9850
527,100,-100,19,9750
528,100,0,20,9750
529,100,100,21,9850
530,100,-100,24,9750
531,100,-100,18,9650
532,100,-100,19,9550
533,100,-100,23,9450
534,100,100,13,9550
535,200,200,21,9750
536,100,100,19,9850
537,100,100,18,9950
538,100,100,18,10050
539,100,-100,17,9950
540,100,-100,15,9850
541,100,100,19,9950
542,200,200,16,10150
543,100,-100,12,10050
544,100,-100,23,9950
545,100,100,15,10050
546,200,0,18,10050
547,100,100,18,10150
548,100,0,20,10150
549,100,150,21,10300
550,100,0,20,10300
551,100,0,20,10300
552,100,100,19,10400
553,100,100,17,10500
554,100,-100,19,10400
555,100,150,21,10550
556,100,-100,26,10350
557,100,100,18,10550
558,100,-100,26,10450
559,100,-100,17,10350
560,100,100,19,10450
561,100,100,20,10550
562,100,0,20,10550
563,100,100,18,10650
564,100,-100,18,10550
565,100,-100,23,10450
566,100,-100,20,10350
567,100,-100,24,10250
568,100,100,20,10350
569,200,200,21,10550
570,100,-100,19,10450
571,100,100,19,10550
572,100,100,20,10650
573,100,100,19,10750
574,100,-100,19,10650
575,200,200,20,10850
576,100,100,18,10950
577,100,100,18,10950
578,100,100,18,11150
579,100,-100,17,11050
580,200,-200,12,10850
581,100,-100,9,10750
582,100,-100,13,10650
583,100,0,19,10650
584,100,100,20,10750
585,200,0,21,10750
586,100,100,19,10850
587,100,-100,13,10750
588,100,150,21,10900
589,100,-100,23,10800
590,100,100,18,10900
591,100,-100,11,10800
592,100,100,17,10900
593,100,100,20,11000
594,100,-100,22,10900
595,100,-100,15,10800
596,100,-100,17,10700
597,100,100,14,10800
598,100,-100,7,10700
599,100,-100,18,10600
600,100,150,21,10750
601,100,100,14,10850
602,100,-100,18,10750
603,100,-100,17,10650
604,100,-100,17,10550
605,100,-100,23,10450
606,100,100,18,10550
607,100,0,17,10550
608,200,200,16,10750
609,100,-100,19,10650
610,100,100,20,10750
611,100,100,20,10850
612,100,0,17,10850
613,200,-200,20,10650
614,100,-100,14,10550
615,100,0,19,10550
616,200,200,15,10750
617,100,-100,20,10650
618,100,-100,23,10550
619,100,-100,18,10450
620,100,100,19,10550
621,100,100,19,10650
622,100,-100,13,10550
623,100,-100,16,10450
624,100,100,15,10550
625,100,100,19,10650
626,100,0,20,10650
627,100,-100,17,10550
628,100,100,20,10650
629,200,-200,16,10450
630,100,-100,22,10350
631,100,-100,16,10250
632,100,-100,15,10150
633,100,-100,16,10050
634,100,-100,22,9950
635,100,-100,15,9850
636,100,100,15,9950
637,100,100,19,10050
638,100,100,20,10150
639,100,-100,23,10050
640,100,-100,19,9850
641,100,-100,23,9850
642,100,-100,12,9750
643,100,100,15,9850
644,100,-100,20,9750
645,100,100,20,9850
646,100,-100,18,9750
647,100,-100,24,9650
648,100,-100,17,9550
649,100,100,20,9650
650,100,100,14,9750
651,100,-100,25,9650
652,100,100,20,9750
653,100,-100,18,9650
654,200,200,21,9850
655,100,-100,22,9750
656,100,100,19,9850
657,100,100,19,9950
658,100,-100,20,9850
659,200,0,21,9850
660,100,-100,26,9750
661,100,150,21,9900
662,100,100,17,10000
663,100,100,20,10100
664,100,100,18,10200
665,100,100,20,10300
666,100,100,15,10400
667,100,-100,19,10300
668,100,150,21,10450
669,100,-100,26,10350
670,100,-100,17,10250
671,100,-100,18,10150
672,100,100,20,10250
673,100,100,18,10350
674,100,-100,22,10250
675,100,100,20,10350
676,100,-100,23,10250
677,100,-100,17,10150
678,100,-100,14,10050
679,100,100,19,10150
680,100,-100,20,10050
681,100,-100,23,9950
682,100,100,20,10050
683,100,100,18,10150
684,100,100,19,10250
685,100,100,19,10350
686,100,0,18,10350
687,100,-100,24,10250
688,100,100,20,10350
689,100,-100,22,10250
690,100,-100,14,10150
691,100,100,13,10250
692,100,-100,18,10150
693,200,0,20,10150
694,100,100,17,10250
695,200,-200,13,10050
696,100,100,20,10150
697,100,-100,25,10050
698,100,100,21,10150
699,100,0,18,10150
700,100,0,17,10150
701,100,100,19,10250
702,200,200,20,10450
703,100,-100,12,10350
704,100,0,20,10350
705,100,100,19,10450
706,200,-200,12,10250
707,100,-100,23,10150
708,100,-100,17,10050
709,100,150,21,10200
710,100,150,21,10350
711,100,-100,26,10250
712,100,-100,17,10150
713,100,100,18,10250
714,100,100,21,10350
715,100,-100,23,10250
716,100,100,19,10350
717,100,0,19,10350
718,100,100,20,10450
719,100,-100,16,10350
720,100,100,17,10450
721,100,100,20,10550
722,100,0,18,10550
723,100,100,21,10650
724,100,-100,20,10550
725,100,-100,13,10450
726,100,100,19,10550
727,100,100,15,10650
728,100,100,20,10750
729,100,100,18,10850
730,200,200,11,11050
731,100,-100,10,10950
732,100,-100,22,10850
733,100,0,17,10850
734,100,-100,19,10750
735,100,-100,22,10650
736,100,100,17,10750
737,100,100,13,10850
738,100,-100,20,10750
739,100,100,19,10850
740,100,100,15,10950
741,200,-200,12,10750
742,100,-100,23,10650
743,100,100,18,10750
744,100,100,20,10850
745,100,0,19,10850
746,100,-100,12,10750
747,200,0,19,10750
748,100,100,12,10850
749,100,0,21,10850
