Hand Number, Hand Wager, Hand Net, Hand Total, Bank Total
277,200,-200,18,10900
278,100,-100,20,10800
279,100,-100,19,10700
280,100,100,20,10800
281,100,-100,14,10700
282,200,200,4,10900
283,100,150,21,11050
284,100,100,19,11150
285,100,100,20,11250
286,100,100,19,11350
287,100,0,17,11350
288,100,150,21,11500
289,100,-100,20,11400
290,100,-100,14,11300
291,100,-100,26,11200
292,100,100,19,11100
293,100,100,13,11300
294,100,100,19,11500
295,200,200,15,11700
296,100,0,18,11700
297,100,0,18,11700
298,100,0,19,11700
299,100,100,20,11800
300,100,-100,12,11700
301,100,0,18,11700
302,100,-100,13,11600
303,100,100,17,11700
304,100,100,16,11800
305,100,150,21,11950
306,100,-100,16,11850
307,100,100,13,11950
308,100,-100,15,11850
309,100,-100,24,11750
310,100,100,13,11850
311,100,-100,17,11750
312,100,-100,13,11650
313,100,-100,18,11550
314,100,100,19,11650
315,100,-100,18,11550
316,100,-100,8,11450
317,100,0,19,11450
318,100,-100,17,11350
319,100,100,21,11450
320,100,100,17,11550
321,100,-100,16,11450
322,100,-100,14,11350
323,100,0,19,11350
324,100,-100,16,11250
325,100,100,19,11350
326,100,-100,18,11250
327,100,-100,24,11150
328,100,100,20,11250
329,100,-100,17,11050
330,100,-100,19,11050
331,100,-100,18,10950
332,100,-100,17,10850
333,100,100,21,10950
334,100,-100,15,10850
335,100,-100,26,10750
336,100,-100,24,10650
337,200,-200,14,10450
338,100,-100,26,10350
339,100,100,20,10450
340,100,100,20,10550
341,100,-100,13,10450
342,100,100,19,10550
343,100,-100,19,10450
344,100,100,19,10450
345,100,-100,26,10450
346,100,-100,23,10350
347,100,-100,23,10250
348,100,100,19,10350
349,100,-100,23,10250
350,100,100,19,10350
351,100,-100,17,10250
352,100,100,20,10350
353,100,0,20,10350
354,200,200,20,10550
355,100,-100,10,10450
356,100,-100,14,10350
357,100,100,20,10450
358,100,0,20,10450
359,100,150,21,10600
360,100,-100,17,10500
361,100,-100,19,10400
362,100,-100,19,10300
363,100,100,19,10400
364,100,0,20,10400
365,100,100,18,10400
366,100,100,18,10600
367,100,-100,14,10500
368,100,-100,18,10400
369,100,100,17,10500
370,100,0,17,10500
371,100,-100,12,10400
372,100,-100,26,10300
373,100,-100,17,10200
374,100,-100,25,10100
375,100,-100,26,10000
376,100,100,19,10100
377,100,-100,18,10000
378,100,-100,16,9900
379,100,0,20,9900
380,100,100,20,10000
381,100,-100,22,9900
382,100,-100,22,9800
383,100,-100,16,9700
384,100,-100,12,9600
385,100,100,20,9700
386,100,-100,22,9600
387,100,0,17,9600
388,100,100,19,9700
389,100,100,19,9800
390,100,100,14,9900
391,100,-100,15,9800
392,100,100,19,9900
393,100,100,12,10000
394,100,-100,13,9900
395,200,200,12,10100
396,100,0,20,10100
397,100,-100,26,10000
398,100,100,17,10100
399,100,-100,17,10000
400,100,-100,26,9900
401,100,100,20,10000
402,100,-100,22,9900
403,200,-200,16,9700
404,100,100,19,9800
405,100,100,20,9900
406,200,-200,17,9700
407,100,-100,17,9600
408,100,0,20,9600
409,100,100,17,9600
410,100,100,17,9800
411,100,100,18,9900
412,100,0,19,9900
413,100,-100,10,9800
414,100,-100,19,9700
415,200,200,20,9900
416,100,100,19,10000
417,100,0,20,10000
418,200,200,4,10200
419,200,200,20,10400
420,100,100,18,10400
421,100,-100,24,10400
422,100,-100,16,10300
423,200,200,21,10500
424,100,-100,17,10400
425,100,0,20,10400
426,100,100,19,10500
427,100,100,20,10600
428,100,-100,26,10500
429,200,0,17,10500
430,100,-100,13,10400
431,100,100,17,10500
432,100,100,20,10600
433,100,100,19,10700
434,100,-100,17,10600
435,100,100,18,10700
436,200,0,20,10700
437,100,-100,24,10600
438,100,-100,13,10500
439,100,-100,17,10400
440,200,-200,13,10100
441,100,-100,13,10100
442,100,-100,18,10000
443,200,-200,16,9800
444,100,100,18,9900
445,100,-100,26,9800
446,100,-100,16,9700
447,100,-100,13,9600
448,100,100,18,9700
449,100,100,21,9800
450,100,150,21,9950
451,100,-100,17,9850
452,100,100,20,9950
453,100,-100,23,9850
454,100,100,21,9950
455,100,-100,14,9850
456,100,100,19,9950
457,100,100,20,10050
458,100,100,18,10150
459,100,-100,23,10050
460,100,-100,19,9950
461,100,100,20,10050
462,100,-100,24,9950
463,100,-100,25,9850
464,100,100,21,9950
465,100,150,21,10100
466,100,-100,18,10000
467,100,100,19,10100
468,100,100,18,10200
469,100,-100,24,10100
470,100,100,19,10200
471,100,-100,15,10100
472,100,100,14,10200
473,100,-100,22,10100
474,100,-100,24,10000
475,100,100,20,10100
476,100,0,18,10100
477,200,-200,18,9900
478,100,0,21,9900
479,100,100,21,10000
480,100,100,19,9900
481,200,200,21,10300
482,100,100,19,10400
483,100,-100,17,10300
484,100,100,18,10400
485,100,100,17,10500
486,100,100,18,10600
487,100,150,21,10750
488,100,100,21,10850
489,100,-100,22,10750
490,100,-100,22,10650
491,200,200,15,10850
492,100,-100,26,10750
493,100,-100,13,10650
494,200,-200,12,10450
495,100,100,19,10550
